Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,111.389999,111.440002,107.349998,109.330002,105.664818,53204626
2015-01-05,108.290001,108.650002,105.410004,106.250000,102.688095,64285491
2015-01-06,106.540001,107.430000,104.629997,106.260002,102.697754,65797116
2015-01-07,107.199997,108.199997,106.695000,107.750000,104.137794,40105934
2015-01-08,109.230003,112.150002,108.699997,111.889999,108.139000,59364547
2015-01-09,112.669998,113.250000,110.209999,112.010002,108.254974,53699527
2015-01-12,112.599998,112.629997,108.800003,109.250000,105.587502,49650790
2015-01-13,111.430000,112.800003,108.910004,110.220001,106.525002,67091928
2015-01-14,109.040001,110.489998,108.500000,109.800003,106.119072,48956588
2015-01-15,110.000000,110.059998,106.660004,106.820000,103.238960,60013996
2015-01-16,107.029999,107.580002,105.199997,105.989998,102.436790,78513345
2015-01-20,107.839996,108.966698,106.500000,108.720001,105.075249,49899907
2015-01-21,108.949997,111.059998,108.269997,109.550003,105.877434,48575897
2015-01-22,110.260002,112.470001,109.720001,112.400002,108.631897,53796409
2015-01-23,112.300003,113.750000,111.529999,112.980003,109.192467,46464828
2015-01-26,113.739998,114.362602,112.800003,113.099998,109.308456,55614979
2015-01-27,112.419998,112.480003,109.029999,109.139999,105.481186,95568749
2015-01-28,117.625000,118.120003,115.309998,115.309998,111.444344,146477063
2015-01-29,116.320000,119.190002,115.559998,118.900002,114.914009,84436432
2015-01-30,118.400002,120.000000,116.849998,117.160004,113.232353,83745461
2015-02-02,118.050003,119.169998,116.080002,118.629997,114.653038,62739100
2015-02-03,118.500000,119.089996,117.610001,118.650002,114.672409,51915749
2015-02-04,118.500000,120.510002,118.308998,119.559998,115.551880,70149743
2015-02-05,120.019997,120.230003,119.250000,119.940002,116.033173,42246245
2015-02-06,120.019997,120.250000,118.449997,118.930000,115.056068,43706567
2015-02-09,118.550003,119.839996,118.430000,119.720001,115.820343,38889797
2015-02-10,120.169998,122.150002,120.160004,122.019997,118.045403,62008506
2015-02-11,122.769997,124.919998,122.500000,124.879997,120.812263,73561797
2015-02-12,126.059998,127.480003,125.570000,126.459999,122.340775,74474466
2015-02-13,127.279999,127.279999,125.650002,127.080002,122.940590,54272219
2015-02-17,127.405502,128.880005,126.919998,127.830002,123.666153,63152405
2015-02-18,127.625000,128.779999,127.449997,128.714996,124.522324,44891737
2015-02-19,128.479996,129.029999,128.330002,128.449997,124.265961,37362381
2015-02-20,128.619995,129.500000,128.050003,129.494995,125.276955,48948419
2015-02-23,130.020004,133.000000,129.660004,133.000000,128.667755,70974110
2015-02-24,132.940002,133.600006,131.169998,132.169998,127.864807,69228130
2015-02-25,131.559998,131.600006,128.149994,128.789993,124.594879,74711746
2015-02-26,128.785004,130.869995,126.610001,130.414993,126.166962,91287529
2015-02-27,130.000000,130.570007,128.240005,128.460007,124.275642,62014847
2015-03-02,129.250000,130.279999,128.300003,129.089996,124.885109,48096663
2015-03-03,128.960007,129.520004,128.089996,129.360001,125.146317,37816283
2015-03-04,129.100006,129.559998,128.320007,128.539993,124.353012,31666340
2015-03-05,128.580002,128.750000,125.760002,126.410004,122.292404,56517146
2015-03-06,128.399994,129.369995,126.260002,126.599998,122.476227,72842060
2015-03-09,127.959999,129.570007,125.059998,127.139999,122.998642,88528487
2015-03-10,126.410004,127.220001,123.800003,124.510002,120.454300,68856582
2015-03-11,124.750000,124.769997,122.110001,122.239998,118.258247,68938974
2015-03-12,122.309998,124.900002,121.629997,124.449997,120.396271,48362719
2015-03-13,124.400002,125.395103,122.580002,123.589996,119.564270,51827283
2015-03-16,123.879997,124.949997,122.870003,124.949997,120.879951,35874300
2015-03-17,125.900002,127.320000,125.650002,127.040001,122.901894,51023104
2015-03-18,127.000000,129.160004,126.370003,128.470001,124.285324,65270945
2015-03-19,128.750000,129.245102,127.400002,127.495003,123.342072,45809490
2015-03-20,128.250000,128.399994,125.160004,125.900002,121.799042,68695136
2015-03-23,127.120003,127.849998,126.519997,127.209999,123.066368,37709674
2015-03-24,127.230003,128.039993,126.559998,126.690002,122.563316,32842304
2015-03-25,126.540001,126.820000,123.379997,123.379997,119.361115,51655177
2015-03-26,122.760002,124.879997,122.599998,124.239998,120.193092,47572869
2015-03-27,124.570000,124.699997,122.910004,123.250000,119.235344,39546151
2015-03-30,124.570000,126.400002,124.000000,126.370003,122.253738,47099670
2015-03-31,126.089996,126.489998,124.355003,124.430000,120.376907,42090553
2015-04-01,124.820000,125.120003,123.099998,124.250000,120.202766,40621437
2015-04-02,125.029999,125.559998,124.190002,125.320000,121.237915,32220131
2015-04-06,124.470001,127.510002,124.330002,127.349998,123.201805,37193975
2015-04-07,127.639999,128.121796,125.980003,126.010002,121.905472,35012268
2015-04-08,125.849998,126.400002,124.970001,125.599998,121.508812,37329243
2015-04-09,125.849998,126.580002,124.660004,126.559998,122.437538,32483974
2015-04-10,125.949997,127.209999,125.260002,127.099998,122.959938,40187953
2015-04-13,128.369995,128.570007,126.610001,126.849998,122.718079,36365123
2015-04-14,127.000000,127.290001,125.910004,126.300003,122.185989,25524593
2015-04-15,126.410004,127.129997,126.010002,126.779999,122.650368,28970419
2015-04-16,126.279999,127.099998,126.110001,126.169998,122.060196,28368987
2015-04-17,125.550003,126.139999,124.459999,124.750000,120.686485,51957046
2015-04-20,125.550003,128.119995,125.169998,127.599998,123.443649,47054310
2015-04-21,128.100006,128.199997,126.669998,126.910004,122.776123,32435057
2015-04-22,126.989998,128.869995,126.320000,128.619995,124.430450,37654505
2015-04-23,128.300003,130.419998,128.139999,129.669998,125.446205,45770902
2015-04-24,130.490005,130.630005,129.229996,130.279999,126.036362,44525905
